,FirstObjectDistance_X,FirstObjectDistance_Y,SecondObjectDistance_X,SecondObjectDistance_Y,ThirdObjectDistance_X,ThirdObjectDistance_Y,FourthObjectDistance_X,FourthObjectDistance_Y,VehicleSpeed,FirstObjectSpeed_X,FirstObjectSpeed_Y,SecondObjectSpeed_X,SecondObjectSpeed_Y,ThirdObjectSpeed_X,ThirdObjectSpeed_Y,FourthObjectSpeed_X,FourthObjectSpeed_Y,YawRate,Timestamp
0,2000,256,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,33.24150366
1,1990,254,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,33.33595952
2,1980,252,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,33.42972533
3,1970,250,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,33.52276921
4,1960,248,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,33.61871549
5,1950,246,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,33.71547368
6,1940,244,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,33.81275482
7,1930,242,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,33.91177878
8,1920,240,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.00865996
9,1910,238,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.10609708
10,1900,236,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.20280928
11,1890,234,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.30003442
12,1880,232,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.39529477
13,1870,230,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.49498853
14,1860,228,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.59044168
15,1850,226,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.68705797
16,1840,224,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.7840153
17,1830,222,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.88199575
18,1820,220,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,34.97947714
19,1810,218,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,35.07691152
20,1800,216,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,35.17399987
21,1790,214,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,35.26958304
22,1780,212,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,35.36691741
23,1770,210,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,35.46439965
24,1760,208,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,35.56279068
25,1750,206,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,35.66178378
26,1740,204,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,35.76033584
27,1730,202,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,35.85745373
28,1720,200,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,35.95469263
29,1710,198,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,36.05111645
30,1700,196,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,36.14772528
31,1690,194,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,36.24499419
32,1680,192,0,0,0,0,0,0,2048,256,4,0,0,0,0,0,0,0,36.34247713
